event_start_date;event_end_date;event_id;event_type;event_status;tech_id;tech_last_name;tech_first_name;tech_mail;tech_phone;customer_id;customer_last_name;customer_first_name;customer_mail;customer_phone;customer_country;customer_city;customer_postcode;customer_street;description;teammates_number;event_req
25/12/2021 15:12;25/12/2021 16:10;1001;check;deleted;undy8444;ditini;nabil;nabil.ditini@orange.com;688281080;101;Rustice;Gui;Gui.Rustice@customer.com;723912739;France;Nantes;;Avenue Charles de Gaulle;Fuite importante au niveau du join;1;type 1
13/10/2022 09:10;13/10/2022 10:10;1002;check;deleted;undy8444;ditini;nabil;nabil.ditini@orange.com;688281080;102;Loleta;Elena;Elena.Loleta@customer.com;766413388;France;Rennes;;Avenue Charles de Gaulle;Débit irrégulier;2;type 2
09/11/2022 17:11;09/11/2022 18:10;1003;check;new;undy8444;ditini;nabil;nabil.ditini@orange.com;688281080;103;Angelis;Katuscha;Katuscha.Angelis@customer.com;647288845;France;Toulouse;;Avenue Charles de Gaulle;Pièce déjà changée;2;type 3
08/12/2021 05:12;08/12/2021 06:10;1004;repair;new;undy8444;ditini;nabil;nabil.ditini@orange.com;688281080;104;Seessel;Lizzie;Lizzie.Seessel@customer.com;712174162;France;Grenoble;;Avenue Charles de Gaulle;Débit irrégulier;2;type 2
19/11/2022 19:11;19/11/2022 20:10;1005;repair;deleted;undy8444;ditini;nabil;nabil.ditini@orange.com;688281080;105;Lane;Ana;Ana.Lane@customer.com;714154066;France;Rennes;;Avenue Charles de Gaulle;Fuite importante au niveau du join;1;type 1
13/02/2022 11:02;13/02/2022 12:00;1006;check;deleted;undy8444;ditini;nabil;nabil.ditini@orange.com;688281080;106;Verger;Diena;Diena.Verger@customer.com;718249440;France;Nantes;;Avenue Charles de Gaulle;Fuite importante au niveau du join;2;type 2
22/02/2022 21:02;22/02/2022 22:00;1007;repair;new;undy8444;ditini;nabil;nabil.ditini@orange.com;688281080;107;Shuler;Kate;Kate.Shuler@customer.com;609468676;France;Toulouse;;Avenue Charles de Gaulle;Débit irrégulier;1;type 1
02/10/2022 15:10;02/10/2022 16:10;1008;repair;deleted;undy8444;ditini;nabil;nabil.ditini@orange.com;688281080;108;Madaih;Yetty;Yetty.Madaih@customer.com;786337582;France;Grenoble;;Avenue Charles de Gaulle;Fuite importante au niveau du join;2;type 2
21/10/2022 16:10;21/10/2022 17:10;1009;repair;new;undy8444;ditini;nabil;nabil.ditini@orange.com;688281080;109;Eno;Berget;Berget.Eno@customer.com;774047032;France;Lyon;;Avenue Charles de Gaulle;Pièce déjà changée;2;type 3
14/04/2022 01:04;14/04/2022 02:00;1010;repair;deleted;undy8444;ditini;nabil;nabil.ditini@orange.com;688281080;110;Gert;Pearline;Pearline.Gert@customer.com;705715401;France;Paris;;Avenue Charles de Gaulle;Débit irrégulier;1;type 1
27/10/2022 02:10;27/10/2022 03:10;1011;repair;new;undy8444;ditini;nabil;nabil.ditini@orange.com;688281080;111;Bebe;Marylou;Marylou.Bebe@customer.com;756540851;France;Toulouse;;Avenue Charles de Gaulle;Pièce déjà changée;1;type 3
03/11/2022 18:11;03/11/2022 19:10;1012;check;deleted;undy8444;ditini;nabil;nabil.ditini@orange.com;688281080;112;Nunci;Sissy;Sissy.Nunci@customer.com;638938752;France;Nantes;;Avenue Charles de Gaulle;Aspect extérieur douteux;2;type 1
09/11/2022 09:11;09/11/2022 10:10;1013;repair;deleted;undy8444;ditini;nabil;nabil.ditini@orange.com;688281080;113;Sandye;Barbara;Barbara.Sandye@customer.com;740070076;France;Grenoble;;Avenue Charles de Gaulle;Aspect extérieur douteux;2;type 1
14/11/2021 04:11;14/11/2021 05:10;1014;repair;new;undy8444;ditini;nabil;nabil.ditini@orange.com;688281080;114;Kosey;Basia;Basia.Kosey@customer.com;723727893;France;Paris;;Avenue Charles de Gaulle;Débit irrégulier;2;type 2
19/04/2022 06:04;19/04/2022 07:00;1015;repair;new;undy8444;ditini;nabil;nabil.ditini@orange.com;688281080;115;Anyah;Minda;Minda.Anyah@customer.com;793556627;France;Paris;;Avenue Charles de Gaulle;Aspect extérieur douteux;1;type 1
29/03/2022 12:03;29/03/2022 13:00;1016;repair;new;undy8444;ditini;nabil;nabil.ditini@orange.com;688281080;116;Forrer;Rivalee;Rivalee.Forrer@customer.com;618545406;France;Paris;;Avenue Charles de Gaulle;Fuite importante au niveau du join;1;type 1
29/11/2022 12:11;29/11/2022 13:10;1017;repair;deleted;undy8444;ditini;nabil;nabil.ditini@orange.com;688281080;117;Peti;Kenna;Kenna.Peti@customer.com;648897441;France;Bordeaux;;Avenue Charles de Gaulle;Débit irrégulier;1;type 1
14/08/2022 08:08;14/08/2022 09:05;1018;repair;deleted;undy8444;ditini;nabil;nabil.ditini@orange.com;688281080;118;Leler;Madeleine;Madeleine.Leler@customer.com;775625528;France;Toulouse;;Avenue Charles de Gaulle;Débit irrégulier;1;type 1
24/02/2022 15:02;24/02/2022 16:00;1019;check;new;undy8444;ditini;nabil;nabil.ditini@orange.com;688281080;119;Westphal;Suzette;Suzette.Westphal@customer.com;773505883;France;Rennes;;Avenue Charles de Gaulle;Pièce déjà changée;2;type 3
30/10/2022 02:10;30/10/2022 03:10;1020;repair;deleted;undy8444;ditini;nabil;nabil.ditini@orange.com;688281080;120;Sholley;Lanae;Lanae.Sholley@customer.com;784204840;France;Brest;;Avenue Charles de Gaulle;Aspect extérieur douteux;2;type 1
13/11/2021 17:11;13/11/2021 18:10;1021;check;new;undy8444;ditini;nabil;nabil.ditini@orange.com;688281080;121;Bates;Cyndie;Cyndie.Bates@customer.com;736066813;France;Rennes;;Avenue Charles de Gaulle;Fuite importante au niveau du join;1;type 1
23/04/2022 04:04;23/04/2022 05:00;1022;repair;new;undy8444;ditini;nabil;nabil.ditini@orange.com;688281080;122;Docilla;Agathe;Agathe.Docilla@customer.com;680607833;France;Grenoble;;Avenue Charles de Gaulle;Débit irrégulier;1;type 1
07/11/2022 21:11;07/11/2022 22:10;1023;check;new;undy8444;ditini;nabil;nabil.ditini@orange.com;688281080;123;Hieronymus;Molli;Molli.Hieronymus@customer.com;781812751;France;Toulouse;;Avenue Charles de Gaulle;Fuite importante au niveau du join;1;type 1
20/10/2022 08:10;20/10/2022 09:10;1024;repair;new;undy8444;ditini;nabil;nabil.ditini@orange.com;688281080;124;Karylin;Hollie;Hollie.Karylin@customer.com;782311336;France;Brest;;Avenue Charles de Gaulle;Aspect extérieur douteux;2;type 1
30/10/2021 21:10;30/10/2021 22:10;1025;repair;new;undy8444;ditini;nabil;nabil.ditini@orange.com;688281080;125;Wooster;Bobinette;Bobinette.Wooster@customer.com;701254267;France;Brest;;Avenue Charles de Gaulle;Débit irrégulier;1;type 1
24/02/2022 09:02;24/02/2022 10:00;1026;check;new;undy8444;ditini;nabil;nabil.ditini@orange.com;688281080;126;Cressida;Veda;Veda.Cressida@customer.com;758968217;France;Paris;;Avenue Charles de Gaulle;Pièce déjà changée;1;type 3
12/03/2022 05:03;12/03/2022 06:00;1027;check;new;undy8444;ditini;nabil;nabil.ditini@orange.com;688281080;127;Merell;Blondelle;Blondelle.Merell@customer.com;700550225;France;Bordeaux;;Avenue Charles de Gaulle;Fuite importante au niveau du join;2;type 2
22/01/2022 17:01;22/01/2022 18:00;1028;repair;deleted;undy8444;ditini;nabil;nabil.ditini@orange.com;688281080;128;Howlyn;Reeba;Reeba.Howlyn@customer.com;603539795;France;Nantes;;Avenue Charles de Gaulle;Aspect extérieur douteux;2;type 1
